date,cases,prec,tmin,tmax,rh,tmean,dewmean,sst
2015-05-31,2175.0,39.3801,14.8918,24.6023,80.67426315784027,18.847671428571427,15.4525,20.3921
2015-06-07,0.0,31.3279,14.5011,24.4854,79.18153515915411,19.029657142857143,15.331542857142859,20.457542857142858
2015-06-14,1553.0,22.0091,14.3707,24.6441,76.84982634519027,18.849871428571426,14.69667142857143,21.040971428571428
2015-06-21,3877.0,32.3785,13.0542,24.3525,77.41841429234262,18.339314285714288,14.316699999999999,20.436200000000003
2015-06-28,1140.0,16.1833,13.1064,24.1909,74.71138059130602,18.19077142857143,13.626000000000001,20.457328571428572
2015-07-05,1498.0,31.9666,13.5874,24.4665,75.88604017784253,18.29255714285714,13.94367142857143,20.353985714285717
2015-07-12,504.0,25.9046,12.4413,23.6932,72.30180770464105,17.736114285714287,12.680571428571428,19.83664285714286
2015-07-19,532.0,17.5571,12.7465,24.4817,72.94076182368781,18.084957142857142,13.152871428571428,19.474999999999998
2015-07-26,300.0,19.6463,13.3585,24.7462,73.26095410640019,18.266928571428572,13.389371428571428,18.74532857142857
2015-08-02,447.0,15.4056,13.4411,24.439,71.54107591722725,18.614071428571428,13.367228571428571,18.229514285714284
2015-08-09,197.0,12.6768,14.2555,25.8763,67.9988086823258,19.305585714285712,13.24552857142857,18.27657142857143
2015-08-16,353.0,33.6255,13.377,24.1987,76.19128979151712,18.06922857142857,13.786714285714286,18.120385714285714
2015-08-23,489.0,9.6703,14.1494,25.708,72.68613429852387,19.19862857142857,14.172885714285714,18.331385714285716
2015-08-30,332.0,22.6704,14.1529,25.9604,70.3291510332042,19.273385714285716,13.731057142857143,18.462142857142858
2015-09-06,238.0,24.9899,14.1561,25.7132,74.82917247567391,19.138914285714286,14.55512857142857,18.881614285714285
2015-09-13,283.0,15.0678,14.8486,26.3083,69.92970710709369,19.928842857142858,14.271142857142857,18.262071428571428
2015-09-20,251.0,17.4804,14.3935,26.847,71.93560027957803,19.895171428571427,14.668785714285715,18.58472857142857
2015-09-27,261.0,24.2271,15.1189,26.6151,74.15537258594766,20.0711,15.3245,19.09072857142857
2015-10-04,183.0,36.2108,14.7476,26.2738,74.61299045067065,19.461814285714286,14.8101,18.957414285714286
2015-10-11,412.0,23.1578,15.2778,26.8616,73.05053482089933,20.11967142857143,15.135385714285714,19.113257142857144
2015-10-18,173.0,40.9659,14.7376,25.8671,75.18236544324498,19.34375714285714,14.824914285714286,18.792271428571432
2015-10-25,256.0,25.766000000000002,15.3764,26.7492,76.78603517283283,20.181528571428572,15.971157142857143,19.158042857142856
2015-11-01,77.0,35.1465,15.7601,25.9357,77.13831786685842,19.989300000000004,15.8592,19.5195
2015-11-08,82.0,58.0278,15.106,25.2187,76.11987015889031,19.384414285714286,15.064257142857143,19.600871428571427
2015-11-15,42.0,47.5101,15.9137,25.8026,80.5886360802307,19.70987142857143,16.27454285714286,19.644714285714286
2015-11-22,564.0,30.9723,15.843,26.9766,76.3995506539154,20.46618571428571,16.162942857142856,19.726428571428574
2015-11-29,399.0,31.3619,16.3263,26.7202,77.52294183985998,20.74982857142857,16.676871428571427,20.14227142857143
2015-12-06,273.0,55.9533,15.5952,26.4518,77.40772967909295,19.84465714285714,15.748685714285715,20.4313
2015-12-13,0.0,42.7423,16.1247,27.2113,77.782046744623,20.133399999999998,16.1207,21.06264285714286
2015-12-20,0.0,54.3713,16.0376,26.0886,79.58025010446777,19.954342857142855,16.30625714285714,21.08067142857143
2015-12-27,0.0,58.8044,16.2115,24.5563,82.65217141260597,19.526142857142855,16.49372857142857,21.600157142857142
2016-01-03,0.0,38.9887,15.9996,25.6731,76.7636907263327,20.130485714285715,15.917600000000002,21.96867142857143
2016-01-10,157.0,40.4967,16.5961,26.5482,79.24601132448258,20.667157142857143,16.941257142857143,22.200314285714285
2016-01-17,523.0,39.7737,16.6275,26.9782,76.8929790554146,20.999185714285716,16.783442857142855,22.250857142857143
2016-01-24,519.0,39.0792,16.8681,27.8536,78.64392863114692,21.117485714285717,17.243685714285714,22.895185714285713
2016-01-31,701.0,48.3285,17.027,27.3137,80.01990029067471,21.030185714285714,17.447557142857143,23.438071428571426
2016-02-07,768.0,82.8918,16.4718,25.3546,84.80157693026001,19.85922857142857,17.22067142857143,23.524628571428572
2016-02-14,1104.0,65.5488,16.8104,25.6276,85.0412670944506,20.03235714285714,17.433885714285715,22.855014285714283
2016-02-21,1334.0,61.7451,17.1027,25.7258,84.1360038055757,20.59887142857143,17.82334285714286,22.806214285714287
2016-02-28,1123.0,87.1853,17.0366,25.9325,86.59839810710216,20.27802857142857,17.967342857142857,23.94835714285714
2016-03-06,1328.0,63.634699999999995,16.7067,25.9166,84.83278780740572,20.496585714285715,17.854757142857142,23.576957142857143
2016-03-13,1330.0,66.6561,16.5903,26.4922,84.50813924993733,20.036614285714286,17.338985714285716,23.462600000000002
2016-03-20,1258.0,55.4574,16.1992,25.7097,82.31565410798972,20.191514285714284,17.076242857142855,22.21737142857143
2016-03-27,1132.0,49.8129,16.3842,27.1038,82.14423629762207,20.417871428571427,17.259814285714285,21.561128571428572
2016-04-03,1075.0,59.105000000000004,16.4851,25.7793,83.27004390345243,20.143685714285713,17.213042857142856,21.4434
2016-04-10,1199.0,45.6618,16.4117,26.109,83.34910588617537,20.196085714285715,17.281214285714288,20.767757142857143
2016-04-17,1463.0,60.5268,15.6958,25.5923,83.82244441123532,19.784585714285715,16.964642857142856,20.303185714285714
2016-04-24,1633.0,36.4109,15.6824,26.2623,81.91716783360042,19.989642857142858,16.8023,20.061585714285716
2016-05-01,1418.0,30.8797,12.5066,26.7896,75.98620203982205,18.624714285714283,14.304485714285715,19.741171428571427
2016-05-08,332.0,20.373800000000003,13.6867,26.0492,76.76978829939765,19.43135714285714,15.246414285714286,19.626299999999997
2016-05-15,1698.0,38.5368,14.7291,25.4387,79.71823270732209,19.344357142857145,15.746814285714285,19.79925714285714
2016-05-22,610.0,32.6088,14.6145,24.9107,76.3974628161363,19.180985714285715,14.929428571428572,19.01917142857143
2016-05-29,1230.0,36.8071,13.7218,24.5084,75.84152101155037,18.472885714285717,14.123014285714286,18.640657142857144
2016-06-05,1380.0,19.8388,13.3626,24.9062,73.61285737733455,18.666500000000003,13.856842857142857,18.576628571428575
